accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_f,instant_bookable_t,room_type_Home_or_apt,room_type_Privateroom,room_type_Sharedroom
2,1,1,1,1,1,52.35393512,4.909045474,2,27,2.881170266,1,0,1,0,0
2,1,1,1,1,1,52.3539303,4.878772178,2,0,3.137441541,1,0,0,1,0
2,1,1,1,1,1,52.35084574,4.902465211,3,2,3.15637051,1,0,1,0,0
2,1.5,1,1,1,1,52.35297225,4.93676949,2,4,3.860907658,1,0,1,0,0
6,1,2,1,2,1,52.3482044,4.908414979,3,0,3.496721174,1,0,1,0,0
4,1.5,3,1,1,1,52.35514721,4.928573972,2,6,3.323844524,1,0,1,0,0
2,1,1,1,1,1,52.36659342,4.859018348,3,15,3.078370907,1,0,1,0,0
2,1,1,1,2,1,52.37867101,4.852129374,2,0,3.209213648,1,0,1,0,0
2,1,1,2,2,2,52.34949194,4.832009259,3,7,5.641072092,1,0,1,0,0
2,1,1,1,1,1,52.34370597,4.902622331,2,1,3.948998738,1,0,1,0,0
2,1.5,1,1,1,2,52.38070805,4.875127069,1,42,1.657234363,1,0,0,1,0
4,2,3,1,4,1,52.36970996,4.913824478,4,1,1.436340713,1,0,1,0,0
2,1,1,2,1,2,52.37496961,4.898844427,3,137,0.470565957,0,1,0,1,0
3,1,1,1,2,1,52.34179888,4.924396369,2,10,4.487123839,1,0,1,0,0
2,1,1,1,1,1,52.37108491,4.851476195,1,14,3.375631245,1,0,1,0,0
2,1,1,2,1,2,52.39674776,4.917778188,1,0,2.314216499,1,0,0,1,0
4,1,3,1,1,1,52.35364093,4.941953561,4,0,4.047866029,1,0,1,0,0
4,1,2,1,2,1,52.37955173,4.850589456,3,3,3.313369586,1,0,1,0,0
2,1,1,1,1,1,52.36399376,4.924808484,3,22,2.411585734,1,0,1,0,0
2,1,1,1,1,1,52.34916306,4.901728522,2,8,3.340276795,1,0,0,1,0
1,1,1,2,1,2,52.36179943,4.944567948,2,14,3.62115807,1,0,0,1,0
3,1,1,1,2,1,52.34784098,4.787799722,1,14,8.337729431,1,0,0,1,0
4,1,2,2,1,2,52.35179082,4.90116984,1,0,3.046911703,1,0,1,0,0
4,1.5,1,15,1,16,52.38066279,4.886371568,7,0,0.900876017,0,1,1,0,0
3,1,1,1,1,1,52.3575784,4.910748943,1,22,2.52127556,1,0,1,0,0
2,1,1,1,1,1,52.35353244,4.901382162,1,20,2.854160958,1,0,1,0,0
2,1,1,1,2,1,52.37661211,4.888799026,2,65,0.776002601,1,0,1,0,0
2,1,1,2,1,2,52.35915093,4.860285992,2,12,3.465916367,1,0,0,1,0
4,1,2,2,2,2,52.35844794,4.83016656,3,1,5.234380879,1,0,1,0,0
2,1,1,1,1,1,52.32458474,4.978723905,3,3,8.110893567,1,0,1,0,0
4,1,2,1,2,1,52.37523398,4.880405974,2,8,1.363390868,1,0,1,0,0
4,1,2,1,3,1,52.35981045,4.84261829,4,16,4.415433415,0,1,1,0,0
2,1,1,1,1,1,52.32494724,4.97052057,3,16,7.721110558,1,0,1,0,0
1,2,1,3,1,4,52.36246617,4.858760616,1,0,3.326789114,1,0,0,0,1
2,1,1,1,1,1,52.37100476,4.848441369,2,0,3.576733128,1,0,1,0,0
3,1.5,1,2,1,2,52.36685235,4.843213094,3,0,4.052938929,1,0,0,1,0
2,1,1,1,1,1,52.36716306,4.866364908,2,3,2.611211907,1,0,0,1,0
4,1.5,2,2,1,2,52.35406257,4.93645634,3,1,3.756053705,1,0,1,0,0
3,1.5,2,1,1,1,52.37005953,4.88929995,3,2,1.225408164,0,1,1,0,0
